"n","z","panel"
50,-1.32114493940855,"n = 50"
50,-1.39609197129879,"n = 50"
50,-1.52843533218065,"n = 50"
50,-0.00296549504766886,"n = 50"
50,0.64762826796221,"n = 50"
50,-0.246814517649796,"n = 50"
50,0.16183930406716,"n = 50"
50,-0.177393188520834,"n = 50"
50,0.966188601614922,"n = 50"
50,2.31906963857269,"n = 50"
50,0.331019670613915,"n = 50"
50,0.332584838421294,"n = 50"
50,0.494861712442006,"n = 50"
50,0.55705697344946,"n = 50"
50,0.548854191479004,"n = 50"
50,1.97600093571476,"n = 50"
50,-1.23670450379898,"n = 50"
50,0.0858546579212164,"n = 50"
50,0.980179793697941,"n = 50"
50,-1.48872525568705,"n = 50"
50,1.48237945930083,"n = 50"
50,-0.357130377737856,"n = 50"
50,1.92925774594357,"n = 50"
50,0.730368015070172,"n = 50"
50,0.773236607158132,"n = 50"
50,3.1519577547078,"n = 50"
50,0.56449593521537,"n = 50"
50,-2.26292295250866,"n = 50"
50,-0.150818824540012,"n = 50"
50,1.56933792379116,"n = 50"
50,-0.554479408283536,"n = 50"
50,-0.662833061417375,"n = 50"
50,1.05979808346733,"n = 50"
50,0.645942399078273,"n = 50"
50,0.556493052164366,"n = 50"
50,-1.988714312221,"n = 50"
50,2.25372054035318,"n = 50"
50,-0.562770055890327,"n = 50"
50,-0.687215671291992,"n = 50"
50,1.45805612170656,"n = 50"
50,0.141265658918179,"n = 50"
50,0.353572854419548,"n = 50"
50,0.025832953500451,"n = 50"
50,-1.36252640188922,"n = 50"
50,-1.66844264136281,"n = 50"
50,1.42635708434023,"n = 50"
50,0.168303572840452,"n = 50"
50,0.614077204463639,"n = 50"
50,-0.910228493674456,"n = 50"
50,1.35994653712792,"n = 50"
50,0.888565484825907,"n = 50"
50,0.104521440551001,"n = 50"
50,1.40407998201815,"n = 50"
50,-0.124127548859235,"n = 50"
50,0.262220045933613,"n = 50"
50,-0.864250502602329,"n = 50"
50,0.241229822426181,"n = 50"
50,0.161579294292978,"n = 50"
50,-0.120580472663502,"n = 50"
50,0.762386633307149,"n = 50"
50,0.435795599407458,"n = 50"
50,-0.00820104205065251,"n = 50"
50,3.41017417351871,"n = 50"
50,-0.73014794658401,"n = 50"
50,0.0886074393065054,"n = 50"
50,-0.967883129758575,"n = 50"
50,-0.0733848488625758,"n = 50"
50,-0.485344519616057,"n = 50"
50,-0.445311301485946,"n = 50"
50,0.565277281833617,"n = 50"
50,0.147227054887249,"n = 50"
50,-0.453227670189271,"n = 50"
50,-0.898909534777813,"n = 50"
50,2.3134405556588,"n = 50"
50,0.516590227164769,"n = 50"
50,0.0931258108164384,"n = 50"
50,1.66312871120057,"n = 50"
50,-1.36009646210593,"n = 50"
50,1.20279107857804,"n = 50"
50,-0.0963027816464123,"n = 50"
50,-0.956991115029322,"n = 50"
50,1.86092505705386,"n = 50"
50,-1.88071211093472,"n = 50"
50,-0.277148031954952,"n = 50"
50,0.711924131213853,"n = 50"
50,0.20287878782366,"n = 50"
